Daming Zou, Ran Wang, Yingfei XIong, Lu Zhang, Zhendong Su, Hong Mei(3)  	A Genetic Algorithm for Detecting Significant Floating-Point Inaccuracies	Proceedings of 37th International Conference on Software Enginering	2015
Huoran Li, Xuanzhe Liu, Tao Xie, Kaigui Bian, Xuan Lu, Felix Xiaozhu Lin, Qiaozhu Mei, and Feng Feng(2)	Characterizing Smartphone Usage Patterns from Millions of Android Users	Proceedings of the 2015 ACM SIGCOMM Conference on Internet Measurement Conference	2015
Yun Ma, Xuanzhe Liu, Shuhui Zhang, Ruirui Xiang, Yunxin Liu, Tao Xie(2)	Measurement and Analysis of Mobile Web Cache Performance	Proceedings of 2015 International Conference on World Wide Web	2015
Yihan Wu, Hui Song, Yingfei XIong, Zibin Zheng, Ying Xhang, Gang Huang(3)	Model Defined Fault Tolerance in Cloud	Internetware ’14: the Sixth Asia-Pacific Symposium on Internetware 	2014
Qing Gao, Yingfei Xiong, Yaqing Mi, Lu Zhang, Weikun Yang, Zhaoping Zhou, Bing Xie, and Hong Mei(2)	Safe Memory-Leak Fixing for C Programs	Proceedings of 37 th International Conference on Software Engineering	2015
Jie Zhang, Junjie Chen, Dan Hao, YIngfei Xiong, Bing Xie, Lu Zhang, Hong Mei(3)	Search-Based Inference of Polynomial Metamorphic Relations	Proceedings of the 29th IEEE/ACM International Conference on Automated Software Engineering	2014
Hui Xu, Yangfan Zhou,and Michael R. Lyu(2)	Towards Smartphone Continuous and Passive Authentication via Touch Biometric: An Experimental Study	Proceedings of the USENIX Symposium On Usable Privacy and Security (SOUPS 2014)	2014
Dan Hao, Lingming Zhang, Lu Zhang, Gregg Rothermel, Hong Mei(1)	A Unified Test-Case Prioritization Approach	ACM Transactions on Software Engineering and Methodology	2014
Yilei Zhang, Zibin Zheng, and Michael R. Lyu(2)	An Online Performance Prediction Framework for Service-Oriented Systems	IEEE Transactions on System, Man, and Cybernetics	2014
Pengfei Zheng, Yong Qi, Yangfan Zhou, Pengfei Chen, Jianfeng Zhan, and Michael R. Lyu(3)	CSHP: An Automatic Framework for Detecting and Characterizing the Performance Degradation of Software Systems	IEEE Transactions on Reliability	2014
